anime_id,title,english_title,japanese_title,type,episodes,duration,status,source,season,studios,genres,rating,score,scored_by,rank,popularity,members,favorites,watching,completed,on_hold,dropped,plan_to_watch,start_date,end_date,broadcast_day,broadcast_time,synopsis
16454,Surf Side High-School,,サーフサイドハイスクール,tv,20,420,finished_airing,,summer 1999,Magic Bus,Comedy;Ecchi;School,r+,5.93,136,11356,15634,0,0,0,0,0,0,0,1999-06-01,1999-07-02,other,23:55,"At a high school that sits in front of the ocean, three unpopular pubescent guys, Abe, Nagaho, and Mita, spend more of their time goofing off at the beach than studying. Of course, surfing always comes first, but their other adventures on the beach and search for girls are a source of non-stop laughter.   (Source: AniDB)"
9344,Torajima no Miime,,トラジマのミーめ,special,2,600,finished_airing,,summer 1999,,Pets;Slice of Life,g,5.99,465,11051,14217,0,0,0,0,0,0,0,1999-08-06,1999-12-08,,,"A special that appeared with the Queen Emeraldas OVA, a short story dedicated to Leiji Matsumoto's beloved cat ""Mii-kun."""
30450,Dr. Slump: Hoyoyo! Arale no Himitsu Dai Koukai da yo!!,,ドクタースランプ ほよよ！アラレの秘密大公開だよ！！,special,1,1447,finished_airing,manga,summer 1999,Toei Animation,Comedy;Gag Humor;Sci-Fi;Shounen,pg_13,5.85,332,11747,14006,0,0,0,0,0,0,0,1999-09-15,1999-09-15,,,A special episode aired between episode 72 and 73 of Dr. Slump 2.
36145,Tottoko Hamtarou: Anime Dechu!,,とっとこ ハム太郎 アニメ でちゆ!,ova,1,1639,finished_airing,manga,summer 1999,TMS Entertainment,Adventure;Shoujo,g,6.1,435,10440,13753,0,0,0,0,0,0,0,1999-09-15,1999-09-15,,,"This was the first attempt at an animated adaptation of Hamtarou, and consists of four short episodes.   Crawling Around, Hamtarou (ドラマ ~ もぐりこんだら ハム太郎): Natsumi comes home and finds Hamtarou is missing from his cage. Shortly after, Hamtarou is revealed to be hiding under Natsumi's blanket, where he introduces himself to the viewer.  Hamuchanzu Corner ~ Biscuits in the Vase (ハムちゃんずコーナー ~ つぼの中のビスケット): Hamtarou and the Ham-Hams help Bijou retrieve a biscuit she had dropped while running on the roof posts. After multiple attempts to retrieve the cookie fail, Hamtarou suggests that he be lowered down into the vase, like a prize-catching crane machine. With this plan, Hamtarou is able to retrieve Bijou's biscuit. The vase wobbles and he begins to fall, but the dog wakes up and rescues the hamster by catching him with a pillow. With Hamtarou saved, Bijou hugs Hamtarou graciously and the episode ends as Hamtarou watches the dog slip away to go back to sleep.  I Love You, Natsumi-chan (ドラマ ~ 大好き、なつみちゃん): The episode opens with Hamtarou having a bit of a manly montage; he seems like he has something important to do. Before she leaves for school, Natsumi tells Hamtarou she likes him while petting him. In response, without her understanding, Hamtarou confesses to Natsumi that he loves her romantically, but knows that Natsumi only loves him as a companion. She then has to leave for school and meets her classmate, Shirohara, to walk with him. Hamtarou wishes to become rivals with the schoolboy, who he knows Natsumi has a crush on. He spends the day venting and whining to Wanta about how Shirohara has beaten him for Natsumi's affection, and eventually tires himself out. At the end of the day, however, Natsumi tells Hamtarou that she loves him very much, which makes him very happy.  Hamuchanzu Corner ~ Yellow Happiness (ハムちゃんずコーナー ~ 黄色いしあわせ): Hamtarou and the Ham-Hams appear to be on a scheme to get some sunflower seeds.  (Source: Wikia)"
1228,Chivas 1-2-3,Sorcerer on the Rocks,シーバス１-２-３,ova,2,1650,finished_airing,manga,summer 1999,Daume,Action;Comedy;Ecchi;Fantasy,r+,5.98,1805,11059,9855,0,0,0,0,0,0,0,1999-08-21,1999-09-21,,,Ruthless sorcerer Chivas Scotch is hired by a count named Cuttlefish to destroy an evil monster attacking a nearby village. But things go awry when Chivas fails to destroy the monster and he's forced to transfer his spirit in the body of his beautiful servant Gin Fizz.   (Source: ANN)
10199,Super Doll Licca-chan: Licca-chan Zettai Zetsumei! Doll Knights no Kiseki,,スーパードール★リカちゃん リカちゃん絶体絶命! ドールナイツの奇跡,movie,1,1800,finished_airing,original,summer 1999,Madhouse,Action;Adventure;Fantasy;Super Power,g,6.06,277,10672,15094,0,0,0,0,0,0,0,1999-07-31,1999-07-31,,,"A fun day at the amusement park is interrupted when the evil witch Dana is reawakened. Queen Yae has sent her after Rika and only the Doll Knights can stop this threat. Meanwhile, Dai and the others must deal with other dangers.   (Source: ANN)"
6447,Break-Age,,BREAK-AGE,ova,1,2594,finished_airing,manga,summer 1999,Ripple Film,Mecha;Romance;Sci-Fi;Shounen,pg_13,6.07,474,10569,13644,0,0,0,0,0,0,0,1999-09-25,1999-09-25,,,"In 2007, the inhabitants of Danger Planet II fight their battles using remote-controlled robots or ""virtual puppets."" Kirio Nimura is a high school student and the strongest puppeteer on the planet, until he falls for Sairi Takahara, who insists that nobody may make advances until they have beaten her puppet, Benkei.  (Source: Anime Encyclopedia)"
4792,Pokemon: Pikachu Tankentai,Pokémon: Pikachu's Rescue Adventure,ピカチュウたんけんたい,movie,1,1400,finished_airing,game,summer 1999,OLM,Adventure;Comedy;Fantasy;Kids,pg,6.58,15333,7474,4875,0,0,0,0,0,0,0,1999-07-17,1999-07-17,,,"Satoshi and his companions Kasumi and Kenji are enjoying a well-earned break from their journey around the Pokémon world. The group are resting outside on a warm day when Kasumi's Togepy accidentally gets distracted and separated. With their trainers asleep, it is up to Pikachu and the rest of the Pokémon to rescue Togepy! When inclement weather threatens the forest they are searching in, the group must band together to weather the storm.  [Written by MAL Rewrite]"
9931,Happy Birthday: Inochi Kagayaku Toki,Re-Birthday,ハッピーバースデー 命かがやく瞬間,movie,1,4740,finished_airing,book,summer 1999,Magic Bus,Drama;Kids,g,7.03,1744,4719,9657,0,0,0,0,0,0,0,1999-07-27,1999-07-27,,,After being abused by her mother physically and mentally Asuka gets taken in by her grandparents. Slowly she learns her own worth as a human being and overcomes many obstacles. 
1890,Clover,,CLOVER,music,1,396,finished_airing,manga,summer 1999,Madhouse,Drama;Fantasy;Music;Sci-Fi;Shoujo,pg_13,6.74,7128,0,6283,0,0,0,0,0,0,0,1999-08-21,1999-08-21,,,"Suu is a Four Leaf Clover. Her power is unrivaled, yet all she has known her whole life is loneliness. One day, a man named Kazuhiko appears and accompanies Suu for her first and last journey, to the place where she can find happiness."
